"","Site","Latitude","Longitude","Genetics","Planting"
"86","lamberton_mn",44.24095,-95.3115,2.5,2018-05-16
"87","waseca_mn",44.07345,-93.53225,2.5,2018-05-17
"88","mead_ne",41.15785,-96.42075,2.5,2018-05-17
"89","hoytville_oh",41.2126,-83.7578,2.5,2018-05-30
"90","chatham_ont",42.38,-82.2524,2.5,2018-07-07
"91","ivesdale_il",39.9481,-88.44975,4.5,2018-05-14
"92","neoga_il",39.323,-88.452,4.5,2018-05-11
"93","urbana_il",40.05325,-88.23485,4.5,2018-05-08
"94","manhattan_ks",38.1326,-96.62,4.5,2018-05-18
"95","onaga_ks",39.4889,-96.17,4.5,2018-05-11
"96","ottawa_ks",38.5404,-95.2477,4.5,2018-05-15
"97","novelty_mo",39.9428,-92.0534,4.5,2018-05-16
"98","portagevilleclay_mo",36.3987,-88.6051,4.5,2018-05-28
"99","portagevilleloam_mo",36.39516667,-89.6102,4.5,2018-05-01
"100","rockport_mo",40.273,-95.4743,4.5,2018-05-22
"101","thiefriverfalls_mn",48.1283,-96.2427,-0.5,2018-06-16
"102","crookston_mn",47.805,-96.61426667,0.5,2018-05-23
"103","shelly_mn",47.4264,-96.8317,0.5,2018-05-24
"104","casselton_nd",46.8866,-97.2386,0.5,2018-05-07
"105","morris_mn",45.3552,-95.5436,1.5,2018-05-13
"106","arthur_il",39.70646667,-88.47023333,3.5,2018-05-07
"107","urbana_il",40.05325,-88.23485,3.5,2018-05-07
"108","wanatah_in",41.4444,-86.9437,3.5,2018-05-25
"109","novelty_mo",39.9428,-92.0534,3.5,2018-05-15
"110","rockport_mo",40.273,-95.4743,3.5,2018-05-23
"111","urbana_il",40.05325,-88.23485,4.5,2018-05-07
"112","novelty_mo",39.9428,-92.0534,4.5,2018-05-15
"113","rockport_mo",40.273,-95.4743,4.5,2018-05-23
