CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2020-04-18 12:00:00,2020,109,,1,NA,NA,NA,0.7900000214576721,14.260000228881836,6.510000228881836,2.3350000977516174,-1.840000033378601,1.4725304366710286,0,13.402530650918914,360.16260893025554,1.9919953534515797,20.50853114514696,0,78930.41147553777,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-19 12:00:00,2020,110,,1,NA,NA,NA,1.2999999523162842,17.739999771118164,13.420000076293945,5.855000019073486,-1.7100000381469727,3.3434957786732253,0,12.58146268903326,358.82775384349054,1.9506473409971694,20.558971509543824,0,78929.89885291627,0.3,0.23392857824053082,1,NA,Simulation,60
1,1,Field,2020-04-20 12:00:00,2020,111,,1,NA,NA,NA,0.009999999776482582,26.3700008392334,11.130000114440918,4.5950000286102295,-1.940000057220459,2.6954250916209492,0,11.821964622081442,355.85766375621415,1.910063837226356,20.60587552135967,0,78928.60220253476,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-21 12:00:00,2020,112,,1,NA,NA,NA,1.4700000286102295,14.149999618530273,7.869999885559082,2.7249999046325684,-2.4200000762939453,1.7616987485852507,0,11.200741598808952,355.4291555748934,1.8708468361328676,20.648957393615614,0,78926.94862696451,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-22 12:00:00,2020,113,,1,NA,NA,NA,0.1899999976158142,19.420000076293945,3.450000047683716,-0.3049999475479126,-4.059999942779541,0.5646841804120277,0,10.531778597035089,354.16620458954355,1.8337661493869764,20.688180963014883,0,78925.25710526727,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-23 12:00:00,2020,114,,1,NA,NA,NA,1.2799999713897705,13.050000190734863,8.329999923706055,1.9149999618530273,-4.5,1.6817525848746302,0,9.83818156344251,353.7209552735726,1.8003698756476711,20.724227396880952,0,78923.92785215315,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-24 12:00:00,2020,115,,1,NA,NA,NA,0.6600000262260437,9.8100004196167,12.65999984741211,7.3749998807907104,2.0899999141693115,4.097222155994839,0,9.30437633886766,352.870719608778,1.7770405977315442,20.759360338489298,0,78924.34541680076,0.3,0.2882142663002014,1,NA,Simulation,60
1,1,Field,2020-04-25 12:00:00,2020,116,,1,NA,NA,NA,0.07000000029802322,21.75,17.15999984741211,8.749999925494194,0.3400000035762787,4.861111069718997,0,9.133703218074091,350.50931908212027,1.7556587942684447,20.795648483778336,0,78924.50297672537,0.3,0.7078571266361645,1,NA,Simulation,60
1,1,Field,2020-04-26 12:00:00,2020,117,,1,NA,NA,NA,21.100000381469727,4.179999828338623,9.029999732971191,6.304999828338623,3.5799999237060547,3.502777682410347,0,9.280899137137327,370.77187596726316,1.7351849680700355,20.823833230396424,0,78925.61872340045,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-27 12:00:00,2020,118,,1,NA,NA,NA,4.53000020980835,7.809999942779541,8.59000015258789,5.245000064373016,1.899999976158142,2.9138889246516757,0,9.195808636400235,374.16384834828614,1.7133998818606837,20.847479742039113,0,78926.11764585122,0.3,0,1,NA,Simulation,60
1,1,Field,2020-04-28 12:00:00,2020,119,,1,NA,NA,NA,0.009999999776482582,17.200000762939453,15.640000343322754,8.615000188350677,1.590000033378601,4.786111215750378,0,9.034857251351921,371.38038030900634,1.7041512141780952,20.873159211664266,0,78928.71158347416,0.3,0.5896428951195308,1,NA,Simulation,60
1,1,Field,2020-04-29 12:00:00,2020,120,,1,NA,NA,NA,0.2199999988079071,15.890000343322754,16.770000457763672,10.930000305175781,5.090000152587891,6.072222391764324,0,9.117935927335528,369.377184372921,1.7024783494456186,20.902837332368513,0,78932.40080771006,0.3,0.8357143402099609,1,NA,Simulation,60
1,1,Field,2020-04-30 12:00:00,2020,121,,1,NA,NA,NA,34.40999984741211,7.849999904632568,17.200000762939453,13.08500051498413,8.970000267028809,7.26944473054674,0,9.432378387036701,394.8883606847879,1.7159215630018463,20.915420755756408,0,78941.29788761053,0.3,1,1,NA,Simulation,60
1,1,Field,2020-05-01 12:00:00,2020,122,,1,NA,NA,NA,0.47999998927116394,13.15999984741211,14.520000457763672,10.460000276565552,6.400000095367432,5.811111264758639,0,9.764594086230435,392.91130647524443,1.713479723961697,20.929536984082407,0,78945.44254501302,0.3,0.6414286238806588,1,NA,Simulation,60
1,1,Field,2020-05-02 12:00:00,2020,123,,1,NA,NA,NA,0.3100000023841858,20.350000381469727,18.729999542236328,11.239999771118164,3.75,6.260074792618222,0,10.015761920941884,389.7918122257036,1.711747657314358,20.94430507678889,0,78948.88151090567,0.3,0.9978570938110352,1,NA,Simulation,60
1,1,Field,2020-05-03 12:00:00,2020,124,,1,NA,NA,NA,0.12999999523162842,25.770000457763672,21.889999389648438,15.084999561309814,8.279999732971191,8.767085077828831,0,10.293465691034367,384.8912053560505,1.7128261662721216,20.960304593311303,0,78953.08839299962,0.3,1,1,NA,Simulation,60
1,1,Field,2020-05-04 12:00:00,2020,125,,1,NA,NA,NA,0.30000001192092896,9.199999809265137,9.539999961853027,5.774999976158142,2.009999990463257,3.2083333200878568,0,10.623120054965128,382.9469611273238,1.6914394312579313,20.968856202906604,0,78951.85546574392,0.3,0,1,NA,Simulation,60
