CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2020-04-06 12:00:00,2020,97,,0,NA,NA,NA,0.28999999165534973,28.450000762939453,31.790000915527344,24.315000534057617,16.84000015258789,0,0,21.266815287060144,355.16648247734145,1.778623214555925,20.857397039215645,0,78945.28341207342,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-07 12:00:00,2020,98,,0,NA,NA,NA,0.09000000357627869,28.34000015258789,31.899999618530273,24.014999389648438,16.1299991607666,0,0,21.575767287537893,350.35786175023816,1.5369434141063674,21.220062856632733,0,78944.32981554832,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-08 12:00:00,2020,99,,0,NA,NA,NA,0.4399999976158142,27.959999084472656,32.209999084472656,24.15999984741211,16.110000610351563,0,0,21.978628381118572,347.847170605923,1.3412473460949588,21.524693520873072,0,78936.3297112936,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-09 12:00:00,2020,100,,0,NA,NA,NA,0.5299999713897705,27.360000610351563,32.54999923706055,25.0649995803833,17.579999923706055,0,0,22.50577228124017,346.3108574567273,1.1887558087448373,21.797378123973683,0,78925.52025834714,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-10 12:00:00,2020,101,,0,NA,NA,NA,0.23999999463558197,26.239999771118164,32.7400016784668,25.1200008392334,17.5,0,0,23.115841020364837,345.09492114566876,1.0689560848651303,22.06009446172531,0,78914.6308661607,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-11 12:00:00,2020,102,,0,NA,NA,NA,0.550000011920929,26.049999237060547,30.860000610351563,25.039999961853027,19.219999313354492,0,0,23.710238599902006,344.0561293014849,0.9759287952579276,22.31669331817406,0,78903.84420151082,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-12 12:00:00,2020,103,,0,NA,NA,NA,7.650000095367432,22.760000228881836,29.65999984741211,23.854999542236328,18.049999237060547,0,0,24.13412528142976,346.7557166189669,0.9783770125819368,22.587608466825312,0,78916.2443068984,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-13 12:00:00,2020,104,,0,NA,NA,NA,3.109999895095825,16.5,30.809999465942383,24.449999809265137,18.09000015258789,0,0,24.174460661383623,346.1840149644589,0.9768340798869054,22.858270134855594,0,78926.54802805305,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-14 12:00:00,2020,105,,0,NA,NA,NA,5.110000133514404,24.8700008392334,29.450000762939453,23.200000762939453,16.950000762939453,0,0,24.0834537398426,345.8152842464527,0.978883889826004,23.129424307528787,0,78935.59207789307,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-15 12:00:00,2020,106,,0,NA,NA,NA,7.389999866485596,19.469999313354492,24.6200008392334,21.460000038146973,18.299999237060547,0,0,23.930890843067264,349.0641427399688,0.9838290124620036,23.396678951565264,0,78943.70805123232,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-16 12:00:00,2020,107,,0,NA,NA,NA,2.1500000953674316,20.850000381469727,29.739999771118164,23.30500030517578,16.8700008392334,0,0,23.691922312861443,346.52027714848754,0.9792301275027023,23.66628160614296,0,78948.65510840065,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-17 12:00:00,2020,108,,0,NA,NA,NA,4.269999980926514,17.260000228881836,29.75,23.21500015258789,16.68000030517578,0,0,23.569911626435065,346.881683859085,0.9787160078984202,23.947850605130036,0,78954.36813460545,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-18 12:00:00,2020,109,,0,NA,NA,NA,12.15999984741211,23.15999984741211,26.770000457763672,22.145000457763672,17.520000457763672,0,0,23.50573563584292,353.9016466891302,0.976488183158057,24.23424035611685,0,78958.9561845625,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-19 12:00:00,2020,110,,0,NA,NA,NA,24.149999618530273,23.90999984741211,24.229999542236328,20.844999313354492,17.459999084472656,0,0,23.405039148609717,369.3624392408202,0.9528069581271308,24.47159770990629,0,78963.74960950273,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-20 12:00:00,2020,111,,0,NA,NA,NA,6.889999866485596,18.360000610351563,24.760000228881836,21.010000228881836,17.260000228881836,0,0,23.239621951353513,372.2180367350244,0.9255716228829584,24.704462622086055,0,78967.80227379518,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-21 12:00:00,2020,112,,0,NA,NA,NA,19.5,17.670000076293945,22.43000030517578,19.645000457763672,16.860000610351563,0,0,23.080014086325036,384.63358133261977,0.9481567798591924,24.839279462800523,0,78971.60760613403,0,0,0,0.9704167048136393,1,NA,Simulation,2
1,1,Field,2020-04-22 12:00:00,2020,113,,0,NA,NA,NA,4.150000095367432,23.290000915527344,25.56999969482422,20.880000114440918,16.190000534057617,0,0,22.89276617776828,383.52393341854,0.9471255392742253,25.03392787593615,0,78974.02695615916,0,0,0,1,1,NA,Simulation,2
1,1,Field,2020-04-23 12:00:00,2020,114,,0,NA,NA,NA,5.010000228881836,18.329999923706055,25.760000228881836,21.02999973297119,16.299999237060547,0,0,22.761087968928624,384.24790260631556,0.9549601375847572,25.23257988141451,0,78975.94094511548,0,0,0,1,1,NA,Simulation,2
