ID,Site,Latitude,Longitude,Planting,Genetics,ID_Loc,Year,Mat,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,HarvestDate_Sim,EndDate,Result,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Rain_8,Rain_9,Rain_10,Rain_11,AccRain_1,AccRain_2,AccRain_3,AccRain_4,AccRain_5,AccRain_6,AccRain_7,AccRain_8,AccRain_9,AccRain_10,AccRain_11,Radn_1,Radn_2,Radn_3,Radn_4,Radn_5,Radn_6,Radn_7,Radn_8,Radn_9,Radn_10,Radn_11,MaxT_1,MaxT_2,MaxT_3,MaxT_4,MaxT_5,MaxT_6,MaxT_7,MaxT_8,MaxT_9,MaxT_10,MaxT_11,MeanT_1,MeanT_2,MeanT_3,MeanT_4,MeanT_5,MeanT_6,MeanT_7,MeanT_8,MeanT_9,MeanT_10,MeanT_11,MinT_1,MinT_2,MinT_3,MinT_4,MinT_5,MinT_6,MinT_7,MinT_8,MinT_9,MinT_10,MinT_11,ThermalTime_1,ThermalTime_2,ThermalTime_3,ThermalTime_4,ThermalTime_5,ThermalTime_6,ThermalTime_7,ThermalTime_8,ThermalTime_9,ThermalTime_10,ThermalTime_11,AccTT_1,AccTT_2,AccTT_3,AccTT_4,AccTT_5,AccTT_6,AccTT_7,AccTT_8,AccTT_9,AccTT_10,AccTT_11,AccEmTT_1,AccEmTT_2,AccEmTT_3,AccEmTT_4,AccEmTT_5,AccEmTT_6,AccEmTT_7,AccEmTT_8,AccEmTT_9,AccEmTT_10,AccEmTT_11,SoilTemp_1,SoilTemp_2,SoilTemp_3,SoilTemp_4,SoilTemp_5,SoilTemp_6,SoilTemp_7,SoilTemp_8,SoilTemp_9,SoilTemp_10,SoilTemp_11,PAWmm_1,PAWmm_2,PAWmm_3,PAWmm_4,PAWmm_5,PAWmm_6,PAWmm_7,PAWmm_8,PAWmm_9,PAWmm_10,PAWmm_11,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,Urea_1,Urea_2,Urea_3,Urea_4,Urea_5,Urea_6,Urea_7,Urea_8,Urea_9,Urea_10,Urea_11,OrganicC_1,OrganicC_2,OrganicC_3,OrganicC_4,OrganicC_5,OrganicC_6,OrganicC_7,OrganicC_8,OrganicC_9,OrganicC_10,OrganicC_11,FracGrowthRate_1,FracGrowthRate_2,FracGrowthRate_3,FracGrowthRate_4,FracGrowthRate_5,FracGrowthRate_6,FracGrowthRate_7,FracGrowthRate_8,FracGrowthRate_9,FracGrowthRate_10,FracGrowthRate_11,NutrientStress_1,NutrientStress_2,NutrientStress_3,NutrientStress_4,NutrientStress_5,NutrientStress_6,NutrientStress_7,NutrientStress_8,NutrientStress_9,NutrientStress_10,NutrientStress_11,TempStress_1,TempStress_2,TempStress_3,TempStress_4,TempStress_5,TempStress_6,TempStress_7,TempStress_8,TempStress_9,TempStress_10,TempStress_11,WaterStress_1,WaterStress_2,WaterStress_3,WaterStress_4,WaterStress_5,WaterStress_6,WaterStress_7,WaterStress_8,WaterStress_9,WaterStress_10,WaterStress_11,Period_Start_Date_1,Period_Start_Date_2,Period_Start_Date_3,Period_Start_Date_4,Period_Start_Date_5,Period_Start_Date_6,Period_Start_Date_7,Period_Start_Date_8,Period_Start_Date_9,Period_Start_Date_10,Period_Start_Date_11,Period_End_Date_1,Period_End_Date_2,Period_End_Date_3,Period_End_Date_4,Period_End_Date_5,Period_End_Date_6,Period_End_Date_7,Period_End_Date_8,Period_End_Date_9,Period_End_Date_10,Period_End_Date_11,Period_Start_DOY_1,Period_Start_DOY_2,Period_Start_DOY_3,Period_Start_DOY_4,Period_Start_DOY_5,Period_Start_DOY_6,Period_Start_DOY_7,Period_Start_DOY_8,Period_Start_DOY_9,Period_Start_DOY_10,Period_Start_DOY_11,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Duration_10,Duration_11,Period_End_DOY_1,Period_End_DOY_2,Period_End_DOY_3,Period_End_DOY_4,Period_End_DOY_5,Period_End_DOY_6,Period_End_DOY_7,Period_End_DOY_8,Period_End_DOY_9,Period_End_DOY_10,Period_End_DOY_11
1,AAAAAAAA,40.399,-86.8592,5/28/2017,0,1,2017,early0,11,2017-03-11,2017-03-25,155,2017-08-27,2017-09-01,2017-09-15,Harvested at Maturity.,2.1913332977642614,5.142666792621215,4.533928513327347,4.140909119085832,6.261999956021707,5.831428583977478,3.076249965466559,0.562857142649591,5.534000015258789,2.111999988555908,0.6413333273182312,2.1913332977642614,5.142666792621215,4.533928513327347,4.140909119085832,6.261999956021707,5.831428583977478,3.076249965466559,0.562857142649591,5.534000015258789,2.111999988555908,0.6413333273182312,14.362666734059651,13.577999846140544,19.390178416456497,26.897272803566672,22.775333595275878,22.577142942519416,21.20125025510788,22.519285883222306,20.75,20.345999908447265,17.635333347320557,7.887333180507024,15.72733325958252,21.42999998160771,27.430000131780453,26.057999928792317,28.299047651745024,26.38937509059906,27.497142927987234,25.554000091552734,25.70199966430664,23.978666814168296,2.8746665969491003,10.129333298405012,15.566607120846,22.003636490214955,20.960666624704995,23.491904644739062,21.47218754887581,21.633571454456874,20.117000102996826,19.595999908447265,17.453666766484577,-2.137999986608823,4.531333337227504,9.70321426008429,16.577272848649457,15.863333320617675,18.684761637733097,16.555000007152557,15.769999980926514,14.680000114440917,13.490000152587891,10.928666718800862,1.054055402328074,2.1280011452597876,5.954399790055123,10.569715623051934,9.622865208296437,12.355188501299457,11.390163416554104,11.697189960224287,10.440870740983486,9.868889688555003,6.8508314218576745,1.054055402328074,2.1280011452597876,5.954399790055123,10.569715623051934,9.622865208296437,12.355188501299457,11.390163416554104,11.697189960224287,10.440870740983486,9.868889688555003,6.8508314218576745,0,0,333.4463882430869,449.7132600966582,594.0562382211048,853.5151967483934,1035.757811413259,1199.5184708563988,1251.7228245613162,1301.0672730040912,1301.0672730040912,2.6602084150430145,6.860740329866428,12.736244922760607,19.065837188431285,19.555397872263306,20.08522861194326,20.97118113687728,20.47446027666592,21.696511359372007,20.378039520189702,19.628161346048095,358.3199104672121,384.3285719008787,377.91207497357203,342.925617342687,356.1279516371085,363.74017621491595,365.9704260792764,332.99383688321996,333.67357795241605,328.1478134913786,321.85662034732013,5.97484571894688,165.03226751190073,53.39432250647142,2.303423024458393,1.8060080123875262,1.649017782353208,1.5458544209133798,1.4376303214599235,1.5363203140935946,1.6069335130688218,0.917457395960918,18.057403099387017,44.8189132017146,178.747588182643,217.55150656713982,210.6095896773183,195.10749468509195,173.6609281598695,164.21756262795398,161.31050530958711,162.89785316068023,162.8588563914892,10.857347672225815,30.155516760577456,0.12441014271798607,1.2002989906323716e-6,9.177157286336227e-8,2.6385333291935557e-9,3.160289052831526e-11,8.731962232860732e-13,6.345964373045779e-14,1.8898041527352666e-14,2.536882457921196e-15,79098.27516077425,79262.38322506515,79200.24396652202,79080.11097321901,79022.7666349345,78962.57286500711,78903.58286076822,78859.2651917233,78830.9782128377,78820.58642038224,78963.56617094351,0,0,0.558544643010412,0.9349091009660201,0.9092333348592122,1,0.9387500047683716,0.9577339207854788,0.8696359562505818,0.9352000045776367,0.06576666831970215,1,1,1,1,1,1,1,0.9682372796525542,0.9922504465501648,1,1,0.08759999752044678,0.13320000012715658,0.558544643010412,0.9349091009660201,0.9092333348592122,1,0.9387500047683716,0.9752857140132359,0.8866000080108642,0.9352000045776367,0.7247666724522909,1,1,1,0.9999999999999999,1,1,1,0.9999999999999999,1,0.9999999999999999,1,2017-03-11,2017-03-26,2017-04-10,2017-06-05,2017-06-16,2017-07-01,2017-07-22,2017-08-07,2017-08-21,2017-08-26,2017-08-31,2017-03-25,2017-04-09,2017-06-04,2017-06-15,2017-06-30,2017-07-21,2017-08-06,2017-08-20,2017-08-25,2017-08-30,2017-09-14,70,85,100,156,167,182,203,219,233,238,243,15,15,56,11,15,21,16,14,5,5,15,84,99,155,166,181,202,218,232,237,242,257
2,BBBBBB,44.707,-93.101,2017,0,2,2017,early0,11,2017-04-01,2017-04-15,181,2017-10-13,2017-10-21,2017-11-04,Harvested at Maturity.,3.122000013043483,3.4968182076276704,4.318392865193475,1.5550000054451327,6.577692441928845,4.065862018871924,0.7521052494841187,4.760499975457788,6.558749794960022,1.3849999776575714,1.4100000193963447,3.122000013043483,3.4968182076276704,4.318392865193475,1.5550000054451327,6.577692441928845,4.065862018871924,0.7521052494841187,4.760499975457788,6.558749794960022,1.3849999776575714,1.4100000193963447,13.720666662851968,17.495909083973277,21.788214325904846,23.921666701634724,21.320000061622032,18.804827542140565,17.646316051483154,12.367499911785126,9.752499848604202,10.982499867677689,7.086666615804036,14.539333216349284,14.260454633019187,22.524821366582596,26.8691668510437,27.575384580172024,24.664827478343042,24.095789457622327,23.715000057220458,15.928750157356262,16.78250002861023,8.78199996550878,8.83366660575072,8.550000028515404,16.944374950868742,21.516250054041546,22.111153712639442,19.224310315888502,17.805263155385067,18.088499999046327,10.684375062584877,10.940000053495169,4.659333314498266,3.1279999951521558,2.8395454240116207,11.363928535154887,16.163333257039387,16.646922845106857,13.783793153433963,11.514736853147808,12.461999940872193,5.439999967813492,5.097500078380108,0.5366666634877523,1.6096547682144742,1.7109683055634526,5.98430005961644,9.469336299680291,10.687541599239287,9.066989309236181,8.78103546129167,9.20065917161435,5.472069686161355,5.594566679043975,0.6848603724101932,1.6096547682144742,1.7109683055634526,5.98430005961644,9.469336299680291,10.687541599239287,9.066989309236181,8.78103546129167,9.20065917161435,5.472069686161355,5.594566679043975,0.6848603724101932,0,0,335.1208033385207,448.7528389346842,587.6908797247949,850.6335696926442,1017.473243457186,1201.486426889473,1245.262984378764,1290.0195178111155,1290.0195178111155,3.605962375421624,6.114090195829643,14.021605278910572,18.10036478914118,19.10468094889768,17.91483755619388,16.5801844633573,17.427257896076952,14.539213925559451,12.474735435926581,10.332392088916679,350.3944522907124,375.7564830292865,367.458595862074,341.92058847623525,342.0968513272846,338.25866728855044,329.4967247224007,315.46047854146616,363.1584451500914,370.2619000703041,364.2398075068095,5.955716769048634,167.90013176899157,43.121673982120015,2.366859342613469,2.1614167361464403,2.0040956751456096,1.8226818743726645,1.9807504900855135,2.193805197686717,2.1602277427335577,0.9026992803079046,19.142237158516387,50.878738271782524,189.87973390651482,218.35328864594607,211.6404022361855,194.4594495297486,172.99556122727353,160.55715269587887,154.98303652041884,154.11443658276036,153.79132404056125,10.819348861635548,22.239237752985925,0.03344671192973303,5.882011008833993e-6,8.258658923950581e-7,5.021183363951695e-8,5.151617950019665e-10,1.5085214613074934e-11,6.318220107830703e-13,1.2627212942750863e-13,1.489280251466512e-14,79264.92471652228,79267.28626409962,79177.69908901177,79056.41552797673,79010.12729121307,78953.9955818041,78907.7887260486,78873.12404001625,78862.39483191821,78860.71428022283,79013.17935932145,0,0,0.658116067307336,0.9547083377838135,0.9816538480611948,0.8783965505402664,0.7467368414527492,0.684239276209966,0.1741250067949295,0.16256249845027926,0.04236666361490885,1,1,1,1,1,1,1,0.975985864224912,0.9974161447924735,0.9999033514711608,0.9999935567647441,0.0912999963760376,0.09097727482969112,0.658116067307336,0.9547083377838135,0.9816538480611948,0.8783965505402664,0.7467368414527492,0.6881000065803528,0.1741250067949295,0.16256249845027926,0.09516666253407796,1,1,1,1,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,2017-04-01,2017-04-16,2017-05-08,2017-07-03,2017-07-15,2017-07-28,2017-08-26,2017-09-14,2017-10-04,2017-10-12,2017-10-20,2017-04-15,2017-05-07,2017-07-02,2017-07-14,2017-07-27,2017-08-25,2017-09-13,2017-10-03,2017-10-11,2017-10-19,2017-11-03,91,106,128,184,196,209,238,257,277,285,293,15,22,56,12,13,29,19,20,8,8,15,105,127,183,195,208,237,256,276,284,292,307
3,CCCCCC,45.3552,-95.5436,5/27/2018,0,3,2018,early0,11,2018-05-17,2018-05-31,146,2018-10-24,2018-11-02,2018-11-16,Harvested at Maturity.,1.5673333557943503,4.24500017054379,5.217714254983834,6.886363658038053,2.0293333496898414,2.58173915144542,1.6566666464010875,3.705517263119591,0.010000000397364298,1.3622222459978528,1.4853333226094643,1.5673333557943503,4.24500017054379,5.217714254983834,6.886363658038053,2.0293333496898414,2.58173915144542,1.6566666464010875,3.705517263119591,0.010000000397364298,1.3622222459978528,1.4853333226094643,20.835333569844565,22.835000038146973,19.99799998828343,22.012727520682596,21.722000058492025,17.983043566994045,15.660555508401659,8.998275863713232,12.690000004238552,8.184444348017374,5.720000044504801,27.880666478474936,26.28999948501587,27.147428458077567,28.1999998959628,25.84800008138021,27.634782708209492,25.08833344777425,14.437586241754992,11.131111250983345,10.395555708143446,0.6486666520436605,21.19866655667623,19.38374972343445,21.958571365901403,22.690454439683393,19.995666694641113,21.891521847766377,19.197222299045986,9.561551726069943,4.808333403534359,5.946666747331619,-2.8636666705211002,14.516666634877522,12.477499961853027,16.76971427372524,17.180908983403988,14.143333307902019,16.148260987323262,13.306111150317722,4.685517210384895,-1.5144444439146254,1.4977777865197923,-6.375999993085862,10.713336276635925,9.383749723434448,9.341601238795429,10.602663988976254,9.181297675544524,11.737055999966172,9.779210415535834,6.094074421528752,5.158124851470606,5,0,10.713336276635925,9.383749723434448,9.341601238795429,10.602663988976254,9.181297675544524,11.737055999966172,9.779210415535834,6.094074421528752,5.158124851470606,5,0,0,0,326.9560433578401,443.58534723657897,581.3048123697467,851.2571003689687,1027.2828878486137,1204.0110460729477,1250.4341697361829,1295.4341697361829,1295.4341697361829,15.189963825579134,17.861185899192456,18.121778244358335,19.937359660734316,18.862237100271102,19.766839396991816,17.767248846526943,13.874918416582997,7.538739481743282,7.462828307698972,4.528304551685444,333.8590489321968,338.77618967568867,360.5102112411755,349.43861020997565,347.5015618846658,315.3123321212583,303.5102781060298,311.6042128540509,338.6721240457037,335.7659732111398,347.8036024761204,7.995805956067707,137.6855004946036,34.58344953938848,2.2083057636123575,2.109675048274173,1.9431477544319684,1.8616539747397873,1.9522420998456107,1.9776852677275347,2.0416897611615092,1.9949291865284733,22.558439783222262,74.89019831087431,206.09095037464147,228.35257918040048,219.59491706796265,205.99483019968045,189.53049708360857,177.5887624182017,171.14428331654963,171.42193514069697,171.50998906186447,8.034966386829897,32.96818386996347,0.4468221551417019,1.8174525186999149e-7,5.588893146239055e-9,9.212342882353302e-11,7.373845725659751e-13,1.0881595243179532e-14,7.094906419174351e-17,1.0741434250650576e-17,1.0935298666012385e-18,79167.80128334032,79132.53428339673,79071.11127779278,78985.23881359067,78942.66431207159,78886.29973632749,78838.52611039793,78807.53963026027,78806.0305132574,78808.54566290563,78930.40694565141,0,0,0.9750857162475586,1,0.9192000039418539,0.9716956532519797,0.8328888932863872,0.1826379286831823,0.0185000028875139,0,0,1,1,1,1,1,1,1,0.9829789650146853,0.9981862163123337,1,1,0.864133334159851,0.8643749833106995,0.9750857162475586,1,0.9192000039418539,0.9716956532519797,0.8328888932863872,0.1826379286831823,0.0185000028875139,0,0,1,1,1,1,0.9999999999999999,0.9999999999999999,1,1,0.9999999999999999,1,1,2018-05-17,2018-06-01,2018-06-05,2018-07-10,2018-07-21,2018-08-05,2018-08-28,2018-09-15,2018-10-14,2018-10-23,2018-11-01,2018-05-31,2018-06-04,2018-07-09,2018-07-20,2018-08-04,2018-08-27,2018-09-14,2018-10-13,2018-10-22,2018-10-31,2018-11-15,137,152,156,191,202,217,240,258,287,296,305,15,4,35,11,15,23,18,29,9,9,15,151,155,190,201,216,239,257,286,295,304,319
4,DDDDDD,40.82216667,-88.62016667,2018-01,1,4,2018,early1,11,2018-03-15,2018-03-29,150,2018-08-26,2018-08-29,2018-09-12,Harvested at Maturity.,2.2759999743352335,1.6057142953920578,1.9547499669250101,6.370000152763995,6.32071420257645,2.621739103904237,1.1513333272188901,1.918333292007446,7.242000057175756,0.19666667034228644,5.620666610325376,2.2759999743352335,1.6057142953920578,1.9547499669250101,6.370000152763995,6.32071420257645,2.621739103904237,1.1513333272188901,1.918333292007446,7.242000057175756,0.19666667034228644,5.620666610325376,13.57000012397766,15.766785579068321,22.85875008106232,20.033636179837313,21.592142786298478,24.047826062078062,20.95266663233439,20.277499834696453,15.932000160217285,18.106666882832844,15.65733323097229,8.528666639328003,11.143928549119405,25.74150013923645,28.0372727134011,28.392857142857142,28.73478250918181,29.45200030008952,31.402499357859295,26.28199996948242,32.46333376566569,27.322666549682616,3.039333347479502,5.385178565579865,19.23212504312396,23.044090921228584,23.83178574698312,23.42608688188636,23.512666829427083,25.333332935969036,21.373999881744385,26.58833376566569,22.28466663360596,-2.449999944368998,-0.373571417959673,12.72274994701147,18.050909129056063,19.270714351109095,18.117391254590906,17.57333335876465,19.264166514078777,16.465999794006347,20.71333376566569,17.246666717529298,0.09285201858431101,1.3176149393238028,8.404602558586792,10.373237052367122,10.764977742588838,11.253880764083743,12.21500682341086,14.469538274259369,11.433886928476095,15.219094989291824,10.688194730011622,0.09285201858431101,1.3176149393238028,8.404602558586792,10.373237052367122,10.764977742588838,11.253880764083743,12.21500682341086,14.469538274259369,11.433886928476095,15.219094989291824,10.688194730011622,0,0,336.18410234347164,450.2897099195099,600.9993983157536,859.8386558896798,1043.0637582408426,1216.6982175319552,1273.8676521743355,1319.524937142211,1319.524937142211,1.492703420880034,4.147689231062264,14.96925339801193,19.579415694069283,20.46145367554597,21.52324645708471,21.320616575855265,23.497583073064952,22.517345439775667,21.66290917067479,22.17350806038015,357.8479691235972,361.0633950226479,339.83534939015425,349.8894746844876,368.0599683222114,328.8803475511701,276.11760022251883,245.49984068160188,256.9534209298358,254.1913231507531,277.04360892002194,5.097550276597799,178.31091309684666,55.22271093896597,2.144003420340101,1.9629380116575548,1.7423680076931465,1.4578713754163333,1.2026239464690307,1.5341282157624077,1.6529070575396039,0.8814543973710293,18.099030904277047,34.09459952583808,182.97264286937738,226.40906005993804,215.24409199203592,200.81017457696484,183.76667238445597,171.93690262075071,168.5079977661044,169.9657996713269,164.6125085289879,11.728173467425327,27.7323774497317,0.015896107860398207,1.3968612978013602e-7,5.908136121947117e-9,9.642883997101646e-11,4.201858831316195e-13,1.1649116821768692e-14,1.0107232111729502e-15,3.4940605674448357e-16,5.908175605148646e-17,79160.8386421857,79259.89628395111,79182.755054346,79068.9582504074,79021.56377294958,78946.61234231835,78882.53284669132,78852.40728972765,78836.28026063215,78828.02870901072,79057.8382657769,0,0,0.8159625035524368,0.9993181792172519,0.9898571423121861,0.9960869581803031,1,0.9768317754906252,0.968400084570554,1,0.06666666666666667,1,1,1,1,1,1,1,0.9637334270009104,0.9929710512011519,1,1,0,0.07257142737507821,0.8159625035524368,0.9993181792172519,0.9898571423121861,0.9960869581803031,1,1,0.9847999954223633,1,0.9324333318074545,1,1,1,1,1,0.9999999999999999,1,1,1,1,1,2018-03-15,2018-03-30,2018-04-27,2018-06-06,2018-06-17,2018-07-01,2018-07-24,2018-08-08,2018-08-20,2018-08-25,2018-08-28,2018-03-29,2018-04-26,2018-06-05,2018-06-16,2018-06-30,2018-07-23,2018-08-07,2018-08-19,2018-08-24,2018-08-27,2018-09-11,74,89,117,157,168,182,205,220,232,237,240,15,28,40,11,14,23,15,12,5,3,15,88,116,156,167,181,204,219,231,236,239,254
5,EEEEEEE,40.05325,-88.23485,2018,1,5,2018,early1,2.946797457918418,2018-03-10,2018-03-24,NA,NA,2018-04-23,2018-05-07,Failed to Emerge.,2.51733329060177,3.1524137425525436,NA,NA,NA,NA,NA,NA,NA,NA,1.2314285556120532,2.51733329060177,3.1524137425525436,NA,NA,NA,NA,NA,NA,NA,NA,1.2314285556120532,14.547333383560181,14.392758558536398,NA,NA,NA,NA,NA,NA,NA,NA,22.425714356558665,7.1366665681203205,11.922758513483508,NA,NA,NA,NA,NA,NA,NA,NA,20.69928550720215,1.8709999700387319,5.842068899551342,NA,NA,NA,NA,NA,NA,NA,NA,14.289642802306584,-3.394666628042857,-0.23862071438082333,NA,NA,NA,NA,NA,NA,NA,NA,7.88000009741102,0.06605055419440073,1.305927528163335,NA,NA,NA,NA,NA,NA,NA,NA,5.405424287689531,0.06605055419440073,1.305927528163335,NA,NA,NA,NA,NA,NA,NA,NA,5.405424287689531,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1.8793328011642225,4.456166185728024,NA,NA,NA,NA,NA,NA,NA,NA,9.945255533561335,360.32166939598284,385.174584227103,NA,NA,NA,NA,NA,NA,NA,NA,349.1178361721179,4.692065762717556,174.61066491558742,NA,NA,NA,NA,NA,NA,NA,NA,132.01961145963668,18.12946656232662,35.41057050089679,NA,NA,NA,NA,NA,NA,NA,NA,106.71345759417096,12.189475054624374,29.49988962552098,NA,NA,NA,NA,NA,NA,NA,NA,0.133628494711516,79075.25972492887,79259.98040195889,NA,NA,NA,NA,NA,NA,NA,NA,79249.57223870442,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.07201723754405975,NA,NA,NA,NA,NA,NA,NA,NA,0.4516785676990237,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-03-10,2018-03-25,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-23,2018-03-24,2018-04-22,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-06,69,84,NA,NA,NA,NA,NA,NA,NA,NA,113,15,29,0,0,0,0,0,0,0,0,14,83,112,NA,NA,NA,NA,NA,NA,NA,NA,126
