CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,Yieldkgha,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2020-02-11 12:00:00,2020,42,,1,NA,NA,NA,11.619999885559082,4.443416118621826,11.170000076293945,8.735000133514404,6.300000190734863,4.852777851952447,0,5.780625249699215,372.15846946765436,2.0122178752587545,20.50624566185828,0,78937.20337764887,0,0.3,0.2789285864148821,1,NA,Simulation,101
1,1,Field,2020-02-12 12:00:00,2020,43,,1,NA,NA,NA,7.690000057220459,5.822970867156982,12.680000305175781,9.510000228881836,6.340000152587891,5.283333460489909,0,6.1070861977835795,378.9022455377591,1.9832184620980406,20.557239254654537,0,78942.03122050368,0,0.3,0.44214289528982975,1,NA,Simulation,101
1,1,Field,2020-02-13 12:00:00,2020,44,,1,NA,NA,NA,0,12.72413158416748,12.989999771118164,7.479999899864197,1.9700000286102295,4.155555499924555,0,6.48420014658467,376.8973879857404,1.9455602291974967,20.608852244968876,0,78944.10584433873,0,0.3,0.31928569078445435,1,NA,Simulation,101
1,1,Field,2020-02-14 12:00:00,2020,45,,1,NA,NA,NA,0,16.415395736694336,16.1200008392334,7.495000422000885,-1.1299999952316284,4.185520196641899,0,6.758210305293045,374.41501638937916,1.9078508685872406,20.659780312201725,0,78945.61973286862,0,0.3,0.5439286615167345,1,NA,Simulation,101
1,1,Field,2020-02-15 12:00:00,2020,46,,1,NA,NA,NA,0,16.363195419311523,20.260000228881836,11.410000085830688,2.559999942779541,6.472295071212451,0,6.963574249011052,371.40423212487804,1.8803000430114039,20.70949440297827,0,78949.31386938336,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-16 12:00:00,2020,47,,1,NA,NA,NA,0.029999999329447746,14.812467575073242,23.260000228881836,15.744999885559082,8.229999542236328,9.334770100249184,0,7.346741733698219,368.37210602466723,1.8615871413085372,20.760839249404764,0,78954.90557739188,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-17 12:00:00,2020,48,,1,NA,NA,NA,0,13.383606910705566,26.079999923706055,19.460000038146973,12.84000015258789,12.056119461721844,0,8.069197083356478,366.1695741456656,1.8424804497271443,20.818902674162686,0,78960.36072959779,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-18 12:00:00,2020,49,,1,NA,NA,NA,6.440000057220459,10.568169593811035,24.829999923706055,17.860000133514404,10.890000343322754,10.85544940814972,0,9.068482174942822,370.01141421669183,1.8584238265528454,20.88777791514967,0,78975.21677064997,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-19 12:00:00,2020,50,,1,NA,NA,NA,13.460000038146973,4.135861396789551,12.539999961853027,10.429999828338623,8.319999694824219,5.794444349077013,0,9.893473175941063,382.1090335793053,1.8156567414710274,20.941781759763444,0,78978.78483683556,0,0.3,0.49785712787083214,1,NA,Simulation,101
1,1,Field,2020-02-20 12:00:00,2020,51,,1,NA,NA,NA,6.619999885559082,7.045223236083984,12.1899995803833,8.589999675750732,4.989999771118164,4.772222042083741,0,10.128170588799364,386.9247662184931,1.774606306767382,20.97613379295545,0,78980.85928308254,0,0.3,0.3414285182952881,1,NA,Simulation,101
1,1,Field,2020-02-21 12:00:00,2020,52,,1,NA,NA,NA,0,15.486035346984863,13.869999885559082,7.119999945163727,0.3700000047683716,3.95555552509096,0,10.007258664790672,383.72137145076556,1.7316545187297778,21.009346431701147,0,78981.37862997178,0,0.3,0.35642855933734346,1,NA,Simulation,101
1,1,Field,2020-02-22 12:00:00,2020,53,,1,NA,NA,NA,0,16.701887130737305,18.459999084472656,10.519999504089355,2.5799999237060547,5.84444416893853,0,9.773307133290281,380.5801852877407,1.700153585399031,21.04069648212359,0,78983.52732054048,0,0.3,0.927142756325858,1,NA,Simulation,101
1,1,Field,2020-02-23 12:00:00,2020,54,,1,NA,NA,NA,4.150000095367432,11.428197860717773,19.559999465942383,12.87999963760376,6.199999809265137,7.240044630501006,0,9.728637188418832,381.7199319444101,1.6839719770952237,21.07284352988349,0,78989.44086271865,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-24 12:00:00,2020,55,,1,NA,NA,NA,0,14.908374786376953,20.709999084472656,14.3149995803833,7.920000076293945,8.168835060638852,0,9.911273951446693,377.89215337937685,1.6680156957046741,21.109984906055605,0,78995.16694476035,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-25 12:00:00,2020,56,,1,NA,NA,NA,0,16.205589294433594,20.15999984741211,13.044999837875366,5.929999828338623,7.392592615071934,0,10.208346376355736,373.8064798958132,1.6403090691838216,21.14830177673415,0,78998.01383556619,0,0.3,1,1,NA,Simulation,101
1,1,Field,2020-02-26 12:00:00,2020,57,,1,NA,NA,NA,0,14.29786491394043,14.520000457763672,8.93500018119812,3.3499999046325684,4.963888989554511,0,10.414172084345815,370.2719124482364,1.601134128644655,21.181423218114283,0,78997.72630076685,0,0.3,0.532500045640128,1,NA,Simulation,101
1,1,Field,2020-02-27 12:00:00,2020,58,,1,NA,NA,NA,0,19.037302017211914,15.90999984741211,6.509999871253967,-2.890000104904175,3.835669387951494,0,10.33660028980447,367.33713561008625,1.5601589675819378,21.206445622481287,0,78996.47755012565,0,0.3,0.4585714084761483,1,NA,Simulation,101
