CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,FracGrowthRate,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2018-01-01 12:00:00,2018,1,,1,NA,NA,NA,0.009999999776482582,6.320000171661377,-15.180000305175781,-19,-22.81999969482422,0,0,-20.339714881973954,361.05416768472253,2.0451,20.450999104805994,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-02 12:00:00,2018,2,,1,NA,NA,NA,0.009999999776482582,3.2300000190734863,-10.579999923706055,-17.175000190734863,-23.770000457763672,0,0,-19.917879331668086,361.05582858295224,2.0451,20.450997508680068,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-03 12:00:00,2018,3,,1,NA,NA,NA,0,5.519999980926514,-15.970000267028809,-18.985000133514404,-22,0,0,-19.352624558226264,361.0514385691821,2.0451,20.450995329950057,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-04 12:00:00,2018,4,,1,NA,NA,NA,0.2199999988079071,2.7100000381469727,-14.789999961853027,-18.075000286102295,-21.360000610351563,0,0,-18.8978063810389,361.2684388295462,2.0451,20.450943325975583,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-05 12:00:00,2018,5,,1,NA,NA,NA,0,6.190000057220459,-14.569999694824219,-19.06999969482422,-23.56999969482422,0,0,-18.536526916191217,361.261683853693,2.0451,20.450887404459106,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-06 12:00:00,2018,6,,1,NA,NA,NA,0.03999999910593033,3.6700000762939453,-9.430000305175781,-16.005000114440918,-22.579999923706055,0,0,-18.26287836732832,361.28819721888317,2.0451,20.450812981761242,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-07 12:00:00,2018,7,,1,NA,NA,NA,0.019999999552965164,5.710000038146973,-0.3799999952316284,-6.084999978542328,-11.789999961853027,0,0,-17.759357505525514,361.1376212142324,2.0451,20.450730694624134,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-08 12:00:00,2018,8,,1,NA,NA,NA,0.029999999329447746,5.940000057220459,0.7400000095367432,-3.5549999475479126,-7.849999904632568,0,0,-16.745984753571662,360.92976785462105,2.0451,20.45061898266745,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-09 12:00:00,2018,9,,1,NA,NA,NA,0,6.71999979019165,3.640000104904175,-0.9249998331069946,-5.489999771118164,0,0,-15.479840202804363,360.43159583617415,2.0451,20.45047139249583,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-10 12:00:00,2018,10,,1,NA,NA,NA,0.5400000214576721,2.509999990463257,2.6600000858306885,-4.3699997663497925,-11.399999618530273,0,0,-14.210391620093837,360.82702785782715,2.0451,20.450284630797725,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-11 12:00:00,2018,11,,1,NA,NA,NA,1.1100000143051147,4.670000076293945,-12.59000015258789,-17.984999656677246,-23.3799991607666,0,0,-13.323157657597129,361.9219970801854,2.0451,20.44983188027365,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-12 12:00:00,2018,12,,1,NA,NA,NA,0,7.190000057220459,-16.290000915527344,-21.24000072479248,-26.190000534057617,0,0,-13.343382313504687,361.90823886709944,2.0451,20.44936346101826,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-13 12:00:00,2018,13,,1,NA,NA,NA,0,7.889999866485596,-15.039999961853027,-19.84499979019165,-24.649999618530273,0,0,-13.97443941124067,361.88931037640043,2.0451,20.448846661394484,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-14 12:00:00,2018,14,,1,NA,NA,NA,2.049999952316284,3.4100000858306885,-9.800000190734863,-15.179999828338623,-20.559999465942383,0,0,-14.590211845830483,363.91223326814253,2.0451,20.4477287659725,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-15 12:00:00,2018,15,,1,NA,NA,NA,0.05000000074505806,4.929999828338623,-20.06999969482422,-21.385000228881836,-22.700000762939453,0,0,-14.839123282385415,363.93955690538934,2.0451,20.446461188362562,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-16 12:00:00,2018,16,,1,NA,NA,NA,0.019999999552965164,6.940000057220459,-14.720000267028809,-18.769999980926514,-22.81999969482422,0,0,-15.150824613299783,363.9226785662113,2.0451,20.444996723365282,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-17 12:00:00,2018,17,,1,NA,NA,NA,0,7.460000038146973,-1.75,-10.699999809265137,-19.649999618530273,0,0,-15.37078268220537,363.73727772496704,2.0451,20.44327476012526,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-18 12:00:00,2018,18,,1,NA,NA,NA,0.019999999552965164,7.449999809265137,2.5799999237060547,-2.6100001335144043,-7.800000190734863,0,0,-15.043860588796404,363.27319152834343,2.0451,20.441260094600707,0,78937.5996,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-19 12:00:00,2018,19,,1,NA,NA,NA,0.009999999776482582,6.440000057220459,3.5199999809265137,0.014999985694885254,-3.490000009536743,0,0,-14.090866359428148,362.7357393721769,2.0451000569479394,20.43882479726256,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-20 12:00:00,2018,20,,1,NA,NA,NA,0.009999999776482582,5.460000038146973,3.25,-0.7400000095367432,-4.730000019073486,0,0,-12.841486170921664,362.28073810675664,2.0451000569479394,20.43595115476073,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-21 12:00:00,2018,21,,1,NA,NA,NA,0.11999999731779099,2.549999952316284,-0.3100000023841858,-2.1649999916553497,-4.019999980926514,0,0,-11.647491750850232,362.20759451969843,2.0451000569479394,20.432660019934165,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-22 12:00:00,2018,22,,1,NA,NA,NA,0.03999999910593033,2.2200000286102295,-2.9100000858306885,-5.960000157356262,-9.010000228881836,0,0,-10.74885147028854,362.0849621361707,2.0451000569479394,20.429006014260157,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-23 12:00:00,2018,23,,1,NA,NA,NA,0,8.449999809265137,-2.7699999809265137,-7.740000009536743,-12.710000038146973,0,0,-10.278237826055461,361.80079694259246,2.0451000569479394,20.425069088581676,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-24 12:00:00,2018,24,,1,NA,NA,NA,0.029999999329447746,3.6600000858306885,-2.0199999809265137,-5.374999761581421,-8.729999542236328,0,0,-10.076218724891218,361.607143626213,2.0451000569479394,20.420944170498558,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-25 12:00:00,2018,25,,1,NA,NA,NA,0.03999999910593033,2.809999942779541,0.5799999833106995,-3.469999998807907,-7.519999980926514,0,0,-9.801906229553362,361.39197411048144,2.0451000569479394,20.416731320924853,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-26 12:00:00,2018,26,,1,NA,NA,NA,0.009999999776482582,7.079999923706055,3.190000057220459,-0.9549999237060547,-5.099999904632568,0,0,-9.385181315548946,360.77586013159964,2.0451000569479394,20.412527542954635,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-27 12:00:00,2018,27,,1,NA,NA,NA,0,9.390000343322754,-3.2100000381469727,-7.690000057220459,-12.170000076293945,0,0,-8.924099180494757,360.47613004025413,2.0451000569479394,20.40842026980785,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-28 12:00:00,2018,28,,1,NA,NA,NA,0.019999999552965164,6.46999979019165,-9.6899995803833,-12.889999866485596,-16.09000015258789,0,0,-8.85090267013026,360.33077667367496,2.0451000569479394,20.40448313612539,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-29 12:00:00,2018,29,,1,NA,NA,NA,0,10.479999542236328,-9.210000038146973,-13.839999675750732,-18.469999313354492,0,0,-9.190079402586687,360.15553239498803,2.0451000569479394,20.400773634595062,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-30 12:00:00,2018,30,,1,NA,NA,NA,0.07999999821186066,5,-0.5799999833106995,-7.965000182390213,-15.350000381469727,0,0,-9.622867503486754,359.97816084992684,2.0451000569479394,20.397332727185002,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-01-31 12:00:00,2018,31,,1,NA,NA,NA,0.15000000596046448,9.640000343322754,0.6000000238418579,-7.395000159740448,-15.390000343322754,0,0,-9.723941070291714,359.68630481102167,2.0451000569479394,20.394185841733268,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-01 12:00:00,2018,32,,1,NA,NA,NA,0.009999999776482582,9.699999809265137,-14.289999961853027,-17.34999990463257,-20.40999984741211,0,0,-9.762079407599893,359.5814721089091,2.0451000569479394,20.391344757155952,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-02 12:00:00,2018,33,,1,NA,NA,NA,0.019999999552965164,6.909999847412109,-9.1899995803833,-15.224999904632568,-21.260000228881836,0,0,-10.225410896290283,359.483381634029,2.0451000569479394,20.388809841659956,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-03 12:00:00,2018,34,,1,NA,NA,NA,2.0299999713897705,3.5,-9.529999732971191,-13.115000247955322,-16.700000762939453,0,0,-10.651233095624322,361.4182235041075,2.0451000569479394,20.38657239276088,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-04 12:00:00,2018,35,,1,NA,NA,NA,0.07999999821186066,10.789999961853027,-14.869999885559082,-18.34999990463257,-21.829999923706055,0,0,-10.95639815097586,361.4158662379283,2.0451000569479394,20.38461699420917,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-05 12:00:00,2018,36,,1,NA,NA,NA,0,9.4399995803833,-9.899999618530273,-15.34999942779541,-20.799999237060547,0,0,-11.392000867401837,361.3232040566938,2.0451000569479394,20.3829236391916,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-06 12:00:00,2018,37,,1,NA,NA,NA,0.28999999165534973,10.6899995803833,-10.770000457763672,-16.695000648498535,-22.6200008392334,0,0,-11.760444670933234,361.5326557403251,2.0451000569479394,20.381406407277744,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-07 12:00:00,2018,38,,1,NA,NA,NA,0.07999999821186066,11,-9.010000228881836,-13.005000114440918,-17,0,0,-12.041119816410124,361.5189584792096,2.0451000569479394,20.38009017109926,0,78937.59961366751,0,1,0,1,NA,Simulation,3
1,1,Field,2018-02-08 12:00:00,2018,39,,1,NA,NA,NA,0.10000000149011612,9.850000381469727,-10.649999618530273,-14.28499984741211,-17.920000076293945,0,0,-12.110874959096515,361.5502802783426,2.0451000569479394,20.378931542279524,0,78937.59961366751,0,1,0,1,NA,Simulation,3
